Date [yyyy-mm-dd-hh-mm];Electrical Energy Price [â‚¬/MWh]
2024-01-30 00:00;71.94
2024-01-30 01:00;68.79
2024-01-30 02:00;69.37
2024-01-30 03:00;67.44
2024-01-30 04:00;67.18
2024-01-30 05:00;69.37
2024-01-30 06:00;78.43
2024-01-30 07:00;90.6
2024-01-30 08:00;95.93
2024-01-30 09:00;84.93
2024-01-30 10:00;77.15
2024-01-30 11:00;70.1
2024-01-30 12:00;68.1
2024-01-30 13:00;68.23
2024-01-30 14:00;71.93
2024-01-30 15:00;79.49
2024-01-30 16:00;82.36
2024-01-30 17:00;88.17
2024-01-30 18:00;99.23
2024-01-30 19:00;91.91
2024-01-30 20:00;86.04
2024-01-30 21:00;78.0
2024-01-30 22:00;75.01
2024-01-30 23:00;71.51
2024-01-30 23:59;71.51
